"","team_fifa_api_id","team_api_id","team_long_name","team_short_name","date","buildUpPlaySpeed","buildUpPlaySpeedClass","buildUpPlayDribbling","buildUpPlayDribblingClass","buildUpPlayPassing","buildUpPlayPassingClass","buildUpPlayPositioningClass","chanceCreationPassing","chanceCreationPassingClass","chanceCreationCrossing","chanceCreationCrossingClass","chanceCreationShooting","chanceCreationShootingClass","chanceCreationPositioningClass","defencePressure","defencePressureClass","defenceAggression","defenceAggressionClass","defenceTeamWidth","defenceTeamWidthClass","defenceDefenderLineClass"
"273",112225,6269,"Novara","NOV","2014-09-19 00:00:00",66,"Balanced",57,"Normal",56,"Mixed","Organised",56,"Normal",55,"Normal",57,"Normal","Organised",36,"Medium",49,"Press",53,"Normal","Cover"
"274",112409,208931,"Carpi","CAP","2014-09-19 00:00:00",32,"Slow",46,"Normal",31,"Short","Organised",47,"Normal",36,"Normal",54,"Normal","Organised",46,"Medium",44,"Press",51,"Normal","Cover"
"275",112409,208931,"Carpi","CAP","2015-09-10 00:00:00",80,"Fast",45,"Normal",65,"Mixed","Organised",70,"Risky",40,"Normal",50,"Normal","Organised",25,"Deep",55,"Press",35,"Normal","Cover"
"276",112512,8027,"Zawisza Bydgoszcz","ZAW","2014-09-19 00:00:00",54,"Balanced",51,"Normal",40,"Mixed","Organised",67,"Risky",49,"Normal",52,"Normal","Organised",44,"Medium",47,"Press",52,"Normal","Cover"
"277",112512,8027,"Zawisza Bydgoszcz","ZAW","2015-09-10 00:00:00",54,"Balanced",51,"Normal",40,"Mixed","Organised",46,"Normal",49,"Normal",52,"Normal","Organised",44,"Medium",47,"Press",52,"Normal","Cover"
"278",112513,158085,"FC Arouca","ARO","2015-09-10 00:00:00",65,"Balanced",66,"Normal",39,"Mixed","Organised",55,"Normal",59,"Normal",46,"Normal","Organised",37,"Medium",39,"Press",37,"Normal","Cover"
"279",112513,158085,"FC Arouca","ARO","2014-09-19 00:00:00",69,"Fast",66,"Normal",39,"Mixed","Organised",55,"Normal",59,"Normal",46,"Normal","Organised",35,"Medium",37,"Press",37,"Normal","Cover"
"281",12,8549,"Middlesbrough","MID","2015-09-10 00:00:00",60,"Balanced",32,"Little",46,"Mixed","Organised",43,"Normal",55,"Normal",37,"Normal","Organised",38,"Medium",42,"Press",42,"Normal","Cover"
"282",12,8549,"Middlesbrough","MID","2014-09-19 00:00:00",60,"Balanced",28,"Little",56,"Mixed","Organised",49,"Normal",56,"Normal",72,"Lots","Organised",38,"Medium",42,"Press",42,"Normal","Cover"
"286",13,10261,"Newcastle United","NEW","2014-09-19 00:00:00",54,"Balanced",33,"Little",47,"Mixed","Organised",47,"Normal",51,"Normal",39,"Normal","Organised",56,"Medium",54,"Press",51,"Normal","Cover"
"289",13,10261,"Newcastle United","NEW","2015-09-10 00:00:00",58,"Balanced",45,"Normal",49,"Mixed","Organised",47,"Normal",54,"Normal",46,"Normal","Organised",41,"Medium",39,"Press",51,"Normal","Cover"
"296",144,9879,"Fulham","FUL","2014-09-19 00:00:00",52,"Balanced",34,"Normal",56,"Mixed","Organised",58,"Normal",41,"Normal",54,"Normal","Organised",29,"Deep",28,"Contain",39,"Normal","Cover"
"297",144,9879,"Fulham","FUL","2015-09-10 00:00:00",52,"Balanced",34,"Normal",48,"Mixed","Organised",39,"Normal",54,"Normal",59,"Normal","Organised",29,"Deep",30,"Contain",39,"Normal","Cover"
"299",15,10172,"Queens Park Rangers","QPR","2014-09-19 00:00:00",52,"Balanced",36,"Normal",53,"Mixed","Organised",53,"Normal",54,"Normal",54,"Normal","Organised",50,"Medium",44,"Press",54,"Normal","Cover"
"300",15,10172,"Queens Park Rangers","QPR","2015-09-10 00:00:00",30,"Slow",39,"Normal",61,"Mixed","Organised",53,"Normal",53,"Normal",60,"Normal","Organised",50,"Medium",44,"Press",54,"Normal","Cover"
"307",15005,10000,"SV Zulte-Waregem","ZUL","2015-09-10 00:00:00",54,"Balanced",42,"Normal",51,"Mixed","Organised",47,"Normal",52,"Normal",32,"Little","Organised",44,"Medium",58,"Press",37,"Normal","Cover"
"309",15005,10000,"SV Zulte-Waregem","ZUL","2014-09-19 00:00:00",54,"Balanced",42,"Normal",51,"Mixed","Organised",47,"Normal",52,"Normal",32,"Little","Organised",44,"Medium",58,"Press",37,"Normal","Cover"
"311",1530,8121,"Angers SCO","ANG","2014-09-19 00:00:00",48,"Balanced",61,"Normal",50,"Mixed","Organised",40,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
"312",1530,8121,"Angers SCO","ANG","2015-09-10 00:00:00",48,"Balanced",61,"Normal",50,"Mixed","Organised",40,"Normal",52,"Normal",48,"Normal","Organised",44,"Medium",44,"Press",51,"Normal","Cover"
"322",159,9912,"DSC Arminia Bielefeld","BIE","2014-09-19 00:00:00",62,"Balanced",49,"Normal",55,"Mixed","Organised",56,"Normal",51,"Normal",52,"Normal","Organised",36,"Medium",54,"Press",48,"Normal","Cover"
"324",160,9911,"VfL Bochum","BOC","2015-09-10 00:00:00",69,"Fast",38,"Normal",57,"Mixed","Organised",66,"Normal",40,"Normal",66,"Normal","Organised",58,"Medium",47,"Press",67,"Wide","Cover"
"328",160,9911,"VfL Bochum","BOC","2014-09-19 00:00:00",38,"Balanced",54,"Normal",48,"Mixed","Organised",51,"Normal",54,"Normal",36,"Normal","Organised",34,"Medium",53,"Press",49,"Normal","Cover"
"332",162,8398,"FC Energie Cottbus","COT","2014-09-19 00:00:00",39,"Balanced",47,"Normal",40,"Mixed","Organised",52,"Normal",67,"Lots",56,"Normal","Organised",47,"Medium",55,"Press",52,"Normal","Cover"
"336",165,8357,"SpVgg Greuther Fürth","GRF","2015-09-10 00:00:00",54,"Balanced",60,"Normal",53,"Mixed","Organised",54,"Normal",49,"Normal",46,"Normal","Organised",48,"Medium",56,"Press",66,"Normal","Cover"
"340",165,8357,"SpVgg Greuther Fürth","GRF","2014-09-19 00:00:00",66,"Balanced",60,"Normal",38,"Mixed","Organised",56,"Normal",40,"Normal",52,"Normal","Organised",49,"Medium",48,"Press",62,"Normal","Cover"
"344",166,8177,"Hertha BSC Berlin","HBE","2015-09-10 00:00:00",47,"Balanced",44,"Normal",55,"Mixed","Organised",59,"Normal",68,"Lots",45,"Normal","Organised",50,"Medium",45,"Press",57,"Normal","Cover"
"346",166,8177,"Hertha BSC Berlin","HBE","2014-09-19 00:00:00",68,"Fast",52,"Normal",55,"Mixed","Organised",51,"Normal",59,"Normal",59,"Normal","Organised",41,"Medium",60,"Press",51,"Normal","Cover"
"347",169,9905,"1. FSV Mainz 05","MAI","2015-09-10 00:00:00",60,"Balanced",43,"Normal",53,"Mixed","Organised",49,"Normal",40,"Normal",44,"Normal","Organised",55,"Medium",62,"Press",47,"Normal","Cover"
"352",169,9905,"1. FSV Mainz 05","MAI","2014-09-19 00:00:00",67,"Fast",54,"Normal",57,"Mixed","Organised",55,"Normal",38,"Normal",44,"Normal","Organised",53,"Medium",60,"Press",52,"Normal","Cover"
"355",17,8466,"Southampton","SOU","2015-09-10 00:00:00",52,"Balanced",31,"Little",46,"Mixed","Organised",42,"Normal",54,"Normal",30,"Little","Organised",50,"Medium",65,"Press",44,"Normal","Cover"
"356",17,8466,"Southampton","SOU","2014-09-19 00:00:00",47,"Balanced",41,"Normal",40,"Mixed","Organised",42,"Normal",56,"Normal",51,"Normal","Free Form",62,"Medium",64,"Press",44,"Normal","Cover"
"360",171,8165,"1. FC Nürnberg","NUR","2015-09-10 00:00:00",46,"Balanced",58,"Normal",49,"Mixed","Organised",51,"Normal",52,"Normal",59,"Normal","Organised",30,"Deep",40,"Press",44,"Normal","Cover"
"363",171,8165,"1. FC Nürnberg","NUR","2014-09-19 00:00:00",46,"Balanced",62,"Normal",38,"Mixed","Organised",58,"Normal",48,"Normal",55,"Normal","Organised",51,"Medium",50,"Press",47,"Normal","Cover"
"367",1715,10191,"FC Thun","THU","2015-09-10 00:00:00",58,"Balanced",59,"Normal",35,"Mixed","Organised",64,"Normal",36,"Normal",66,"Normal","Organised",47,"Medium",45,"Press",53,"Normal","Cover"
"370",1715,10191,"FC Thun","THU","2014-09-19 00:00:00",58,"Balanced",59,"Normal",35,"Mixed","Organised",64,"Normal",36,"Normal",66,"Normal","Organised",47,"Medium",45,"Press",53,"Normal","Cover"
"372",1738,9746,"Le Havre AC","LEH","2015-09-10 00:00:00",46,"Balanced",56,"Normal",52,"Mixed","Organised",49,"Normal",54,"Normal",52,"Normal","Organised",47,"Medium",55,"Press",52,"Normal","Cover"
"373",1738,9746,"Le Havre AC","LEH","2014-09-19 00:00:00",46,"Balanced",56,"Normal",52,"Mixed","Organised",49,"Normal",54,"Normal",52,"Normal","Organised",47,"Medium",55,"Press",52,"Normal","Cover"
"388",1746,8534,"Empoli","EMP","2014-09-19 00:00:00",63,"Balanced",43,"Normal",39,"Mixed","Organised",66,"Normal",67,"Lots",51,"Normal","Organised",53,"Medium",57,"Press",54,"Normal","Cover"
"390",1746,8534,"Empoli","EMP","2015-09-10 00:00:00",66,"Balanced",43,"Normal",36,"Mixed","Organised",59,"Normal",64,"Normal",63,"Normal","Organised",46,"Medium",66,"Press",48,"Normal","Cover"
"392",1747,9998,"RAEC Mons","MON","2014-09-19 00:00:00",55,"Balanced",50,"Normal",55,"Mixed","Organised",55,"Normal",67,"Lots",46,"Normal","Organised",46,"Medium",45,"Press",47,"Normal","Cover"
"395",175,8721,"VfL Wolfsburg","WOL","2014-09-19 00:00:00",58,"Balanced",67,"Lots",45,"Mixed","Organised",68,"Risky",60,"Normal",54,"Normal","Organised",59,"Medium",48,"Press",47,"Normal","Cover"
"397",175,8721,"VfL Wolfsburg","WOL","2015-09-10 00:00:00",68,"Fast",45,"Normal",57,"Mixed","Organised",69,"Risky",66,"Normal",50,"Normal","Organised",66,"Medium",46,"Press",55,"Normal","Cover"
"402",1750,9984,"KSV Cercle Brugge","CEB","2015-09-10 00:00:00",53,"Balanced",49,"Normal",43,"Mixed","Organised",52,"Normal",58,"Normal",42,"Normal","Organised",59,"Medium",47,"Press",62,"Normal","Cover"
"405",1750,9984,"KSV Cercle Brugge","CEB","2014-09-19 00:00:00",53,"Balanced",49,"Normal",43,"Mixed","Organised",52,"Normal",58,"Normal",42,"Normal","Organised",59,"Medium",47,"Press",62,"Normal","Cover"
"407",1754,8426,"Partick Thistle F.C.","PAR","2015-09-10 00:00:00",48,"Balanced",48,"Normal",47,"Mixed","Organised",47,"Normal",53,"Normal",60,"Normal","Organised",46,"Medium",46,"Press",49,"Normal","Cover"
"408",1754,8426,"Partick Thistle F.C.","PAR","2014-09-19 00:00:00",48,"Balanced",50,"Normal",37,"Mixed","Organised",49,"Normal",50,"Normal",52,"Normal","Organised",47,"Medium",44,"Press",52,"Normal","Cover"
"411",1790,8462,"Portsmouth","POR","2014-09-19 00:00:00",59,"Balanced",32,"Little",57,"Mixed","Organised",49,"Normal",47,"Normal",53,"Normal","Organised",39,"Medium",40,"Press",44,"Normal","Cover"
"412",1790,8462,"Portsmouth","POR","2015-09-10 00:00:00",59,"Balanced",32,"Little",57,"Mixed","Organised",49,"Normal",47,"Normal",53,"Normal","Organised",39,"Medium",40,"Press",44,"Normal","Cover"
"416",1792,9850,"Norwich City","NOR","2015-09-10 00:00:00",45,"Balanced",38,"Normal",55,"Mixed","Organised",46,"Normal",54,"Normal",47,"Normal","Organised",38,"Medium",39,"Press",51,"Normal","Cover"
"417",1792,9850,"Norwich City","NOR","2014-09-19 00:00:00",45,"Balanced",28,"Little",64,"Mixed","Organised",55,"Normal",67,"Lots",42,"Normal","Organised",40,"Medium",43,"Press",51,"Normal","Cover"
"421",1793,9798,"Reading","REA","2015-09-10 00:00:00",44,"Balanced",36,"Normal",64,"Mixed","Organised",62,"Normal",65,"Normal",42,"Normal","Organised",51,"Medium",47,"Press",52,"Normal","Cover"
"423",1793,9798,"Reading","REA","2014-09-19 00:00:00",44,"Balanced",26,"Little",72,"Long","Organised",71,"Risky",39,"Normal",37,"Normal","Organised",58,"Medium",52,"Press",52,"Normal","Cover"
"427",1795,9817,"Watford","WAT","2015-09-10 00:00:00",61,"Balanced",32,"Little",52,"Mixed","Organised",54,"Normal",42,"Normal",45,"Normal","Free Form",38,"Medium",52,"Press",45,"Normal","Cover"
"428",1795,9817,"Watford","WAT","2014-09-19 00:00:00",61,"Balanced",43,"Normal",56,"Mixed","Organised",54,"Normal",44,"Normal",55,"Normal","Free Form",38,"Medium",52,"Press",45,"Normal","Cover"
"436",1796,8191,"Burnley","BUR","2014-09-19 00:00:00",48,"Balanced",32,"Little",74,"Long","Organised",72,"Risky",59,"Normal",58,"Normal","Organised",54,"Medium",57,"Press",58,"Normal","Cover"
"437",1796,8191,"Burnley","BUR","2015-09-10 00:00:00",54,"Balanced",32,"Little",67,"Long","Organised",72,"Risky",57,"Normal",47,"Normal","Organised",63,"Medium",62,"Press",58,"Normal","Cover"
"439",1799,9826,"Crystal Palace","CRY","2015-09-10 00:00:00",61,"Balanced",45,"Normal",67,"Long","Organised",67,"Risky",69,"Lots",50,"Normal","Organised",36,"Medium",34,"Press",41,"Normal","Cover"
"443",1799,9826,"Crystal Palace","CRY","2014-09-19 00:00:00",61,"Balanced",36,"Normal",68,"Long","Organised",67,"Risky",62,"Normal",52,"Normal","Organised",36,"Medium",34,"Press",48,"Normal","Cover"
"447",18,8586,"Tottenham Hotspur","TOT","2014-09-19 00:00:00",41,"Balanced",35,"Normal",38,"Mixed","Organised",41,"Normal",59,"Normal",62,"Normal","Organised",58,"Medium",51,"Press",56,"Normal","Cover"
"449",18,8586,"Tottenham Hotspur","TOT","2015-09-10 00:00:00",47,"Balanced",46,"Normal",40,"Mixed","Organised",41,"Normal",41,"Normal",63,"Normal","Organised",63,"Medium",54,"Press",56,"Normal","Cover"
"451",180,8284,"Dundee FC","DUF","2015-09-10 00:00:00",47,"Balanced",47,"Normal",48,"Mixed","Organised",32,"Safe",61,"Normal",65,"Normal","Organised",50,"Medium",44,"Press",52,"Normal","Cover"
"457",1806,10194,"Stoke City","STK","2015-09-10 00:00:00",48,"Balanced",41,"Normal",49,"Mixed","Organised",51,"Normal",59,"Normal",49,"Normal","Organised",44,"Medium",37,"Press",51,"Normal","Cover"
"459",1806,10194,"Stoke City","STK","2014-09-19 00:00:00",48,"Balanced",24,"Little",55,"Mixed","Organised",51,"Normal",57,"Normal",37,"Normal","Organised",38,"Medium",40,"Press",41,"Normal","Cover"
"462",1809,9941,"Toulouse FC","TOU","2015-09-10 00:00:00",49,"Balanced",56,"Normal",53,"Mixed","Organised",52,"Normal",34,"Normal",36,"Normal","Organised",36,"Medium",45,"Press",49,"Normal","Cover"
"463",1809,9941,"Toulouse FC","TOU","2014-09-19 00:00:00",49,"Balanced",56,"Normal",53,"Mixed","Organised",52,"Normal",34,"Normal",57,"Normal","Organised",36,"Medium",52,"Press",49,"Normal","Cover"
"469",181,9938,"Dundee United","DUU","2014-09-19 00:00:00",60,"Balanced",51,"Normal",60,"Mixed","Organised",52,"Normal",55,"Normal",38,"Normal","Organised",41,"Medium",40,"Press",52,"Normal","Cover"
"471",181,9938,"Dundee United","DUU","2015-09-10 00:00:00",60,"Balanced",58,"Normal",53,"Mixed","Organised",55,"Normal",49,"Normal",45,"Normal","Organised",48,"Medium",42,"Press",53,"Normal","Cover"
"476",1819,9853,"AS Saint-Étienne","ETI","2015-09-10 00:00:00",58,"Balanced",55,"Normal",52,"Mixed","Organised",48,"Normal",64,"Normal",52,"Normal","Organised",48,"Medium",51,"Press",49,"Normal","Cover"
"478",1819,9853,"AS Saint-Étienne","ETI","2014-09-19 00:00:00",58,"Balanced",55,"Normal",52,"Mixed","Organised",48,"Normal",52,"Normal",52,"Normal","Organised",35,"Medium",44,"Press",50,"Normal","Cover"
"482",1823,8481,"AS Nancy-Lorraine","NAN","2014-09-19 00:00:00",49,"Balanced",48,"Normal",49,"Mixed","Organised",52,"Normal",53,"Normal",67,"Lots","Organised",43,"Medium",46,"Press",50,"Normal","Cover"
"484",1823,8481,"AS Nancy-Lorraine","NAN","2015-09-10 00:00:00",49,"Balanced",48,"Normal",49,"Mixed","Organised",52,"Normal",53,"Normal",67,"Lots","Organised",43,"Medium",46,"Press",50,"Normal","Cover"
"486",1824,9810,"Eintracht Frankfurt","EFR","2014-09-19 00:00:00",63,"Balanced",48,"Normal",42,"Mixed","Organised",57,"Normal",50,"Normal",52,"Normal","Organised",43,"Medium",46,"Press",55,"Normal","Cover"
"487",1824,9810,"Eintracht Frankfurt","EFR","2015-09-10 00:00:00",51,"Balanced",41,"Normal",38,"Mixed","Organised",47,"Normal",58,"Normal",40,"Normal","Organised",48,"Medium",42,"Press",55,"Normal","Cover"
"492",1832,8295,"Karlsruher SC","KAR","2015-09-10 00:00:00",54,"Balanced",52,"Normal",47,"Mixed","Organised",53,"Normal",44,"Normal",49,"Normal","Organised",34,"Medium",46,"Press",39,"Normal","Cover"
"493",1832,8295,"Karlsruher SC","KAR","2014-09-19 00:00:00",56,"Balanced",55,"Normal",53,"Mixed","Organised",53,"Normal",46,"Normal",49,"Normal","Organised",32,"Deep",46,"Press",37,"Normal","Cover"
"497",1837,9882,"Sampdoria","SAM","2014-09-19 00:00:00",36,"Balanced",56,"Normal",38,"Mixed","Organised",49,"Normal",52,"Normal",62,"Normal","Organised",54,"Medium",57,"Press",64,"Normal","Offside Trap"
"502",1837,9882,"Sampdoria","SAM","2015-09-10 00:00:00",36,"Balanced",56,"Normal",38,"Mixed","Organised",49,"Normal",52,"Normal",29,"Little","Organised",50,"Medium",51,"Press",53,"Normal","Cover"
"503",1838,8551,"Siena","SIE","2014-09-19 00:00:00",47,"Balanced",49,"Normal",48,"Mixed","Organised",64,"Normal",67,"Lots",52,"Normal","Organised",44,"Medium",49,"Press",51,"Normal","Cover"
"508",184,8429,"Hamilton Academical FC","HAM","2015-09-10 00:00:00",48,"Balanced",48,"Normal",47,"Mixed","Free Form",73,"Risky",53,"Normal",71,"Lots","Organised",55,"Medium",48,"Press",52,"Normal","Cover"
"513",1842,8529,"Cagliari","CAG","2014-09-19 00:00:00",63,"Balanced",51,"Normal",53,"Mixed","Organised",33,"Safe",51,"Normal",68,"Lots","Organised",37,"Medium",56,"Press",51,"Normal","Cover"
"516",1842,8529,"Cagliari","CAG","2015-09-10 00:00:00",67,"Fast",32,"Little",35,"Mixed","Organised",69,"Risky",58,"Normal",69,"Lots","Free Form",65,"Medium",65,"Press",57,"Normal","Offside Trap"
"518",1843,8540,"Palermo","PAL","2014-09-19 00:00:00",66,"Balanced",55,"Normal",37,"Mixed","Organised",56,"Normal",34,"Normal",63,"Normal","Organised",43,"Medium",42,"Press",48,"Normal","Cover"
"519",1843,8540,"Palermo","PAL","2015-09-10 00:00:00",66,"Balanced",66,"Normal",36,"Mixed","Organised",60,"Normal",34,"Normal",64,"Normal","Organised",44,"Medium",58,"Press",50,"Normal","Cover"
"523",1844,8537,"Livorno","LIV","2014-09-19 00:00:00",58,"Balanced",58,"Normal",67,"Long","Organised",38,"Normal",23,"Little",77,"Lots","Organised",29,"Deep",57,"Press",32,"Narrow","Cover"
"526",1844,8537,"Livorno","LIV","2015-09-10 00:00:00",58,"Balanced",58,"Normal",67,"Long","Organised",38,"Normal",27,"Little",69,"Lots","Organised",31,"Deep",57,"Press",38,"Normal","Cover"
"529",1848,9976,"Bari","BAR","2015-09-10 00:00:00",52,"Balanced",40,"Normal",65,"Mixed","Organised",40,"Normal",55,"Normal",48,"Normal","Organised",50,"Medium",51,"Press",55,"Normal","Cover"
"530",1848,9976,"Bari","BAR","2014-09-19 00:00:00",55,"Balanced",40,"Normal",57,"Mixed","Organised",54,"Normal",44,"Normal",56,"Normal","Organised",49,"Medium",51,"Press",53,"Normal","Cover"
"535",1853,8581,"Levante UD","LEV","2014-09-19 00:00:00",57,"Balanced",51,"Normal",63,"Mixed","Organised",55,"Normal",61,"Normal",52,"Normal","Organised",47,"Medium",52,"Press",56,"Normal","Cover"
"538",1853,8581,"Levante UD","LEV","2015-09-10 00:00:00",62,"Balanced",36,"Normal",65,"Mixed","Organised",71,"Risky",42,"Normal",65,"Normal","Organised",36,"Medium",33,"Contain",42,"Normal","Cover"
"542",1860,8305,"Getafe CF","GET","2015-09-10 00:00:00",34,"Balanced",41,"Normal",38,"Mixed","Organised",55,"Normal",39,"Normal",49,"Normal","Organised",43,"Medium",42,"Press",49,"Normal","Cover"
"545",1860,8305,"Getafe CF","GET","2014-09-19 00:00:00",35,"Balanced",42,"Normal",40,"Mixed","Organised",58,"Normal",42,"Normal",52,"Normal","Organised",49,"Medium",45,"Press",47,"Normal","Cover"
"547",1861,9865,"UD Almería","ALM","2015-09-10 00:00:00",46,"Balanced",41,"Normal",65,"Mixed","Organised",57,"Normal",54,"Normal",40,"Normal","Organised",37,"Medium",53,"Press",45,"Normal","Cover"
"548",1861,9865,"UD Almería","ALM","2014-09-19 00:00:00",46,"Balanced",41,"Normal",65,"Mixed","Organised",57,"Normal",54,"Normal",40,"Normal","Organised",37,"Medium",53,"Press",45,"Normal","Cover"
"554",1862,7730,"FC Lausanne-Sports","LAU","2014-09-19 00:00:00",37,"Balanced",55,"Normal",49,"Mixed","Organised",52,"Normal",60,"Normal",52,"Normal","Organised",46,"Medium",44,"Press",55,"Normal","Cover"
"559",1867,7869,"Córdoba CF","COR","2014-09-19 00:00:00",40,"Balanced",53,"Normal",53,"Mixed","Organised",40,"Normal",66,"Normal",48,"Normal","Organised",36,"Medium",41,"Press",52,"Normal","Cover"
"561",1867,7869,"Córdoba CF","COR","2015-09-10 00:00:00",53,"Balanced",40,"Normal",48,"Mixed","Organised",55,"Normal",59,"Normal",57,"Normal","Organised",38,"Medium",39,"Press",52,"Normal","Cover"
"566",1871,8673,"Legia Warszawa","LEG","2014-09-19 00:00:00",54,"Balanced",51,"Normal",36,"Mixed","Free Form",52,"Normal",51,"Normal",64,"Normal","Organised",47,"Medium",46,"Press",66,"Normal","Cover"
"567",1871,8673,"Legia Warszawa","LEG","2015-09-10 00:00:00",54,"Balanced",47,"Normal",36,"Mixed","Organised",52,"Normal",51,"Normal",64,"Normal","Free Form",50,"Medium",60,"Press",58,"Normal","Cover"
